고객ID,Recency,Frequency,Monetary,Length,총납세액,평균납세액,총구매수량,평균구매수량,총할인금액,평균할인금액,평균할인율,총배송료,평균배송료,최다구매월,당월구매횟수,고유거래일수,평균구매주기,추가구매일수,성별,고객지역,가입기간,구매카테고리수,First_category,Second_category,Third_category,used개수,not used개수,clicked개수,Used_ratio,Used_ratio_per_F,Clicked_ratio,Clicked_ratio_per_F
USER_0000,107,1,101.3912,0,4.6982,2.3491,3,3.0,9.296999999999999,4.648499999999999,30.0,75.0,37.5,Sep,1,1,107,0.0,여,New York,31,2,Apparel,Stationery,None,2,0,0,1.0,1.0,0.0,0.0
USER_0001,59,31,15407.719000000001,223,2067.907,34.46511666666667,342,11.03225806451613,781.548,13.0258,8.0,286.46,4.774333333333333,Nov,18,3,168,2.0,남,New York,20,10,Nest,Apparel,Stationery,20,14,26,0.3333333333333333,0.01075268817204301,0.43333333333333335,0.013978494623655914
USER_0002,73,8,1596.0858,119,203.6008,8.852208695652173,209,26.125,130.70499999999998,5.6828260869565215,11.74,81.07,3.5247826086956517,Jun,4,2,155,1.0,남,California,39,6,Stationery,Lifestyle,Apparel,11,1,11,0.4782608695652174,0.059782608695652176,0.4782608695652174,0.059782608695652176
USER_0003,17,11,1438.5072,0,148.26420000000002,8.721423529411766,21,1.9090909090909092,152.21699999999998,8.953941176470588,10.59,82.39,4.846470588235294,Dec,11,1,17,0.0,남,California,25,4,Apparel,Nest,Nest,6,3,8,0.35294117647058826,0.03208556149732621,0.47058823529411764,0.0427807486631016
USER_0004,107,13,1541.9718,0,151.7598,4.21555,56,4.3076923076923075,206.748,5.742999999999999,9.17,154.49,4.291388888888889,Sep,13,1,107,0.0,여,Chicago,31,7,Apparel,Stationery,Nest,11,8,17,0.3055555555555556,0.023504273504273508,0.4722222222222222,0.03632478632478632
USER_0005,130,3,707.0301,0,94.6781,5.91738125,86,28.666666666666668,7.458,0.466125,2.5,18.0,1.125,Aug,3,1,130,0.0,남,New York,41,3,Apparel,Apparel,Nest,2,5,9,0.125,0.041666666666666664,0.5625,0.1875
USER_0006,189,44,7737.661,30,739.78,8.12945054945055,613,13.931818181818182,258.229,2.8376813186813186,4.62,341.8,3.756043956043956,May,39,2,124,1.0,여,New York,21,10,Nest,Apparel,Stationery,21,18,52,0.23076923076923078,0.005244755244755245,0.5714285714285714,0.012987012987012986
USER_0007,24,5,534.6902,0,55.3892,3.956371428571429,22,4.4,30.759,2.197071428571429,6.43,38.480000000000004,2.7485714285714287,Dec,5,1,24,0.0,여,New York,23,3,Apparel,Stationery,Nest,3,2,9,0.21428571428571427,0.04285714285714286,0.6428571428571429,0.1285714285714286
USER_0008,40,37,10839.3404,139,892.6814,11.593264935064935,421,11.378378378378379,338.151,4.391571428571429,3.77,334.5,4.3441558441558445,Nov,21,2,159,1.0,여,California,27,9,Apparel,Nest,Stationery,21,12,44,0.2727272727272727,0.00737100737100737,0.5714285714285714,0.015444015444015443
USER_0009,99,39,5594.4887,72,551.6917,7.9955318840579706,185,4.743589743589744,212.193,3.0752608695652177,4.64,300.87,4.360434782608696,Jul,24,4,60,3.0,남,New York,32,10,Apparel,Nest,Stationery,21,10,38,0.30434782608695654,0.007803790412486065,0.5507246376811594,0.014121144555927164
USER_0010,156,6,635.2384,123,70.0234,7.002339999999999,15,2.5,63.925,6.3925,14.0,47.25,4.725,Mar,4,2,201,1.0,남,California,38,4,Apparel,Nest,Housewares,6,1,3,0.6,0.09999999999999999,0.3,0.049999999999999996
USER_0011,114,10,853.1243000000001,0,78.1243,4.111805263157895,25,2.5,1.71,0.09,1.58,74.49,3.9205263157894734,Sep,10,1,114,0.0,남,Chicago,31,8,Apparel,Nest,Lifestyle,1,6,12,0.05263157894736842,0.005263157894736842,0.631578947368421,0.06315789473684211
USER_0012,122,13,2369.3903,14,221.4703,10.066831818181818,119,9.153846153846153,211.92000000000002,9.632727272727273,8.18,126.41,5.745909090909091,Aug,13,2,75,1.0,여,Chicago,39,7,Apparel,Nest,Nest,9,2,11,0.4090909090909091,0.03146853146853147,0.5,0.038461538461538464
USER_0013,164,14,1573.0504,161,170.9224,5.341325,61,4.357142857142857,80.482,2.5150625,7.5,98.97,3.0928125,Jun,7,3,162,2.0,여,New Jersey,10,6,Apparel,Nest,Housewares,9,6,17,0.28125,0.020089285714285716,0.53125,0.03794642857142857
USER_0014,94,6,661.4674,0,78.2424,7.1129454545454545,17,2.8333333333333335,136.845,12.440454545454545,16.36,42.91,3.9009090909090904,Sep,6,1,94,0.0,여,California,22,4,Apparel,Housewares,Nest,6,0,5,0.5454545454545454,0.0909090909090909,0.45454545454545453,0.07575757575757576
USER_0015,10,14,2604.1597,0,241.8487,9.301873076923076,67,4.785714285714286,66.639,2.5630384615384614,4.62,131.65,5.063461538461539,Dec,14,1,10,0.0,남,California,8,7,Apparel,Housewares,Nest,4,2,20,0.15384615384615385,0.01098901098901099,0.7692307692307693,0.05494505494505495
USER_0016,131,10,3349.6722,22,372.6652,14.333276923076925,259,25.9,95.10300000000001,3.6578076923076925,4.62,155.76999999999998,5.991153846153845,Jul,9,2,87,1.0,여,New Jersey,15,5,Apparel,Nest,Apparel,12,1,13,0.46153846153846156,0.046153846153846156,0.5,0.05
USER_0017,17,6,693.2918,1,60.7668,8.680971428571429,7,1.1666666666666667,7.334999999999999,1.0478571428571428,4.29,38.5,5.5,Dec,6,2,9,1.0,남,New York,43,5,Nest,Nest,Apparel,1,1,5,0.14285714285714285,0.023809523809523808,0.7142857142857143,0.11904761904761905
USER_0018,140,24,3138.6685,18,307.4165,6.54077659574468,169,7.041666666666667,130.758,2.782085106382979,3.19,189.48,4.0314893617021275,Jul,23,3,58,2.0,남,Chicago,29,8,Apparel,Nest,Stationery,14,6,27,0.2978723404255319,0.012411347517730495,0.574468085106383,0.02393617021276596
USER_0019,74,15,1888.1298000000002,114,204.9418,6.831393333333334,157,10.466666666666667,108.172,3.6057333333333332,6.0,129.60999999999999,4.320333333333333,Jun,7,3,100,2.0,여,California,37,7,Apparel,Housewares,Nest,11,3,16,0.36666666666666664,0.024444444444444442,0.5333333333333333,0.035555555555555556
USER_0020,76,6,2053.1056,0,160.93460000000002,14.630418181818184,17,2.8333333333333335,170.479,15.49809090909091,7.27,50.480000000000004,4.58909090909091,Oct,6,1,76,0.0,여,California,38,5,Nest,Nest,Housewares,8,1,2,0.7272727272727273,0.12121212121212122,0.18181818181818182,0.030303030303030304
USER_0021,102,9,1002.4268000000001,1,110.3448,8.488061538461539,101,11.222222222222221,194.028,14.925230769230769,11.54,61.99,4.768461538461539,Sep,9,2,52,1.0,남,Chicago,50,5,Nest,Apparel,Stationery,5,2,6,0.38461538461538464,0.042735042735042736,0.46153846153846156,0.05128205128205129
USER_0022,172,8,841.5755,0,86.7935,5.42459375,17,2.125,62.87800000000001,3.9298750000000005,4.38,91.72999999999999,5.733124999999999,Jul,8,1,172,0.0,남,New York,9,5,Apparel,Nest,Stationery,7,5,4,0.4375,0.0546875,0.25,0.03125
USER_0023,170,3,1473.2566000000002,163,167.7306,12.902353846153847,170,56.666666666666664,63.31400000000001,4.8703076923076924,8.46,42.07,3.2361538461538464,Jul,2,2,248,1.0,여,New York,37,6,Apparel,Lifestyle,Housewares,6,1,6,0.46153846153846156,0.15384615384615385,0.46153846153846156,0.15384615384615385
USER_0024,262,10,2584.7207,0,248.6697,12.433485000000001,133,13.3,60.669000000000004,3.03345,3.0,156.98,7.848999999999999,Apr,10,1,262,0.0,여,New Jersey,43,5,Apparel,Nest,Apparel,6,2,12,0.3,0.03,0.6,0.06
