Recency,Frequency,Monetary,Length,성별,평균구매주기,구매카테고리수,총납세액,총구매수량,총할인금액,총배송료,당월구매횟수,고유거래일수,used개수,not used개수,Used_ratio_per_F,Clicked_ratio_per_F,First_category,Second_category,Third_category,labels
107,1,101.3912,0,여,107,2,4.6982,3,9.297,75.0,1,1,2,0,1.0,0.0,Apparel,Stationery,None,2
59,31,15407.719,223,남,168,10,2067.907,342,781.548,286.46,18,3,20,14,0.010752688172043,0.0139784946236559,Nest,Apparel,Stationery,5
73,8,1596.0858,119,남,155,6,203.6008,209,130.70499999999998,81.07,4,2,11,1,0.0597826086956521,0.0597826086956521,Stationery,Lifestyle,Apparel,3
17,11,1438.5072,0,남,17,4,148.26420000000002,21,152.21699999999998,82.39,11,1,6,3,0.0320855614973262,0.0427807486631016,Apparel,Nest,Nest,0
107,13,1541.9718,0,여,107,7,151.7598,56,206.748,154.49,13,1,11,8,0.0235042735042735,0.0363247863247863,Apparel,Stationery,Nest,0
130,3,707.0301,0,남,130,3,94.6781,86,7.458,18.0,3,1,2,5,0.0416666666666666,0.1875,Apparel,Apparel,Nest,7
189,44,7737.661,30,여,124,10,739.78,613,258.229,341.8,39,2,21,18,0.0052447552447552,0.0129870129870129,Nest,Apparel,Stationery,1
24,5,534.6902,0,여,24,3,55.3892,22,30.759,38.48,5,1,3,2,0.0428571428571428,0.1285714285714286,Apparel,Stationery,Nest,7
40,37,10839.3404,139,여,159,9,892.6814,421,338.151,334.5,21,2,21,12,0.0073710073710073,0.0154440154440154,Apparel,Nest,Stationery,1
99,39,5594.4887,72,남,60,10,551.6917,185,212.193,300.87,24,4,21,10,0.007803790412486,0.0141211445559271,Apparel,Nest,Stationery,1
156,6,635.2384,123,남,201,4,70.0234,15,63.925,47.25,4,2,6,1,0.0999999999999999,0.0499999999999999,Apparel,Nest,Housewares,6
114,10,853.1243000000001,0,남,114,8,78.1243,25,1.71,74.49,10,1,1,6,0.0052631578947368,0.0631578947368421,Apparel,Nest,Lifestyle,7
122,13,2369.3903,14,여,75,7,221.4703,119,211.92,126.41,13,2,9,2,0.0314685314685314,0.0384615384615384,Apparel,Nest,Nest,3
164,14,1573.0504,161,여,162,6,170.9224,61,80.482,98.97,7,3,9,6,0.0200892857142857,0.0379464285714285,Apparel,Nest,Housewares,3
94,6,661.4674,0,여,94,4,78.2424,17,136.845,42.91,6,1,6,0,0.0909090909090909,0.0757575757575757,Apparel,Housewares,Nest,7
10,14,2604.1597,0,남,10,7,241.8487,67,66.639,131.65,14,1,4,2,0.0109890109890109,0.0549450549450549,Apparel,Housewares,Nest,0
131,10,3349.6722,22,여,87,5,372.6652,259,95.103,155.76999999999998,9,2,12,1,0.0461538461538461,0.05,Apparel,Nest,Apparel,3
